"filename", "language", "Markdown", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Skill", "comment", "blank", "total"
"d:\VSProject\Agent\my_agent\AGENTS.md", "Markdown", 119, 0, 0, 0, 0, 0, 0, 30, 149
"d:\VSProject\Agent\my_agent\bun.lock", "JSON with Comments", 0, 278, 0, 0, 0, 0, 0, 242, 520
"d:\VSProject\Agent\my_agent\package-lock.json", "JSON", 0, 0, 3491, 0, 0, 0, 0, 1, 3492
"d:\VSProject\Agent\my_agent\package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 1, 39
"d:\VSProject\Agent\my_agent\tsconfig.base.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\VSProject\Agent\my_agent\tsconfig.json", "JSON with Comments", 0, 29, 0, 0, 0, 0, 0, 1, 30
"d:\VSProject\Agent\my_agent\vitest.config.ts", "TypeScript", 0, 0, 0, 76, 0, 0, 3, 2, 81
"d:\VSProject\Agent\my_agent\vivlos\agent\index.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 26, 12, 121
"d:\VSProject\Agent\my_agent\vivlos\agent\loop\agent-loop.ts", "TypeScript", 0, 0, 0, 104, 0, 0, 36, 16, 156
"d:\VSProject\Agent\my_agent\vivlos\agent\loop\event-mapper.ts", "TypeScript", 0, 0, 0, 137, 0, 0, 0, 4, 141
"d:\VSProject\Agent\my_agent\vivlos\agent\loop\hooks\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\VSProject\Agent\my_agent\vivlos\agent\loop\hooks\max-turns.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 6, 2, 19
"d:\VSProject\Agent\my_agent\vivlos\agent\loop\hooks\types.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 10, 2, 22
"d:\VSProject\Agent\my_agent\vivlos\agent\loop\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\VSProject\Agent\my_agent\vivlos\agent\loop\types.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 4, 4, 27
"d:\VSProject\Agent\my_agent\vivlos\agent\memory\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\VSProject\Agent\my_agent\vivlos\agent\memory\manager.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 15, 18, 100
"d:\VSProject\Agent\my_agent\vivlos\agent\memory\types.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 36, 3, 49
"d:\VSProject\Agent\my_agent\vivlos\agent\prompt\builder.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 25, 16, 112
